Name,Category,Year,Description_Length,Current_Description_Preview
"Ash House (Fort de la Frèniere)","Fort / Trading Post","1795","350","This North West Company "canoe fort" was established on the north shore of the Souris River | which was originally called Rivière St. Pierre by La Vére"
"Bacon Ridge","Road Allowance Community","1950s (Documented)","298","Located south of Lake Ebb and Flow and its associated reserve | this settlement recorded a population of ninety Métis in 1959. It was categorized as a "
"Baie de Canard","Settlement","Oral tradition / approximate","188","A centuries-old gathering place on Lake Winnipegosis known for salt springs and fisheries. Many members took scrip in 1885 but unsuccessfully petition"
"Baie St. Paul","Parish / Settlement","Oral tradition / approximate","350","A French-Métis parish on the Assiniboine River between St. François Xavier and Poplar Point. Father Belcourt founded the mission to transition the Mét"
"Baie St. Paul (Saulteaux Village)","Parish / Settlement","1832","350","A French-Métis parish on the Assiniboine River between St. François Xavier and Poplar Point. Father Belcourt founded the mission to transition the Mét"
"Balsam Bay","Settlement","1884","295","A Métis community located south of Grand Beach with a recorded history dating to 1884. It was named by Matilda Aerson (née Thomas). The community was "
"Barrows (Baden, Powell, National Mills and Red Deer Lake)","Settlement (Lumber Towns)","Late 1700s","350","This area was settled by the Red River Métis in the late 1700s. Barrows is the largest of a cluster of five associated Métis communities situated on t"
"Bas de la Rivière (Fort Alexander)","Fort / Trading Post","1732","350","Originally established as a wintering post and depot for the North West Company in 1732 | this location was vital because the soil was suitable for agr"
"Bas de la Rivière (Pine Falls, Fort Alexander)","Fort / Settlement","1732","350","This community spanned both shores of the Winnipeg River | from Pointe au Foutre (the portage at Pine Falls) down to Traverse Bay on Lake Winnipeg. It "
"Batoche","Settlement (Wintering site)","Historic wintering site","198","A destination for French-speaking Métis who moved permanently to their traditional wintering quarters after the 1869-70 Resistance. It is recognized a"
"Battle River Valley","Settlement / Wintering site","Historic","350","A vital wintering hunting grounds in the Saskatchewan River parkland where the north buffalo hunt brigades of the Metis wintered each season near the "
"Berens River","Settlement / Trading Post","1814 (First post)","325","Located on the east shore of Lake Winnipeg | this site was a stopping point for Métis boatmen since 1765. It was a thriving community until 1970 | when "
"Big Eddy (Settlement)","Road Allowance Community","1912 (Incorporation exclusion)","285","A road allowance community located seven kilometers northwest of The Pas. When The Pas was incorporated in 1912 | Big Eddy was intentionally excluded f"
"Birds Hill","Historic Sanctuary","1824 (Grant)","252","Named after James Curtis Bird | an HBC Chief Factor who received a 3 |000-acre land grant here in 1824. Known as "the Pines |" its high ground served as "
"Birsay Village","Settlement","Oral tradition / approximate","262","Built west of Fort Douglas by Orkney-Cree Michif freemen seeking a sedentary life. Named for the home parish of leader Magnus Spence. The village was "
"Birsay Village or Orkney Town","Settlement","1817","262","Built west of Fort Douglas by Orkney-Cree Michif freemen seeking a sedentary life. Named for the home parish of leader Magnus Spence. The village was "
"Black Butte (Butte Noir)","Settlement / Landmark","Historic","350","Known as 'Butte Noir' to the French-speaking Metis | this prominent landmark near the North Dakota-Manitoba border served as a critical navigation poin"
"Blood River Post (Bloodvein River)","Trading Post","1794","152","An HBC post located at the mouth of the Bloodvein River on Lake Winnipeg. It was part of the extensive northern trade network utilized by Métis boatme"
"Blueberry Patch","Traditional Harvesting Site","Ancient / Traditional","255","Traditional harvesting grounds within the Swan Pelican Provincial Forest used by the Métis and First Nations people of Pine Creek | Camperville | and Du"
"Boggy Creek and San Clara","Settlement","Early 1880s","273","Settled by fur trade families in the 1880s | these hubs near Roblin were thriving communities for trapping and trade. In the late 1930s | many founding "
"Brandon House and Fort Assiniboine","Forts / Trading Posts","Oct 16, 1793","288","Brandon House was founded by the HBC on the northeast bank of the Assiniboine River. It was a central trade hub but underwent several moves due to com"
"Buffalo Lake","Settlement (Wintering site)","Historic","350","A historic wintering site for Metis hivernants (winterers) in central Saskatchewan | situated in the Aspen Parkland region. This lake was part of the b"
"Butte St. Paul ("Ot Accowabiwinins")","Landmark","Ancient","350","A prominent geographic landmark and community gathering place mentioned in the Virtual Museum with the traditional Michif name 'Ot Accowabiwinins.' Th"
"Calf Mountain (Tete de Boeuf), Little Dance Hill","Historic / Ceremonial Site","Ancient / Historic","350","Located south of Darlingford with an elevation of 1 |550 feet | this was a sacred ceremonial site for Plains Indians who called it Mepawaquomoshin (Litt"
"Camperville","Settlement","1860s (Salt); 1914 (Renamed)","245","History is rooted in the 1860s salt trade where Métis prepared salt for the HBC. Renamed for Father Camper | who encouraged Métis from St. Laurent to s"
"Carlton Trail (Métis Stopping Points)","Transportation Route","Early 1800s","177","A network of stopping houses established as Métis freighted goods west to Edmonton. These houses | such as High Bluff and Tanner’s Crossing | evolved in"
"Carrot River Valley (Pasquia Settlement)","Settlement Hub","Ancient Rendezvous; 1741 (Fort)","183","A strategic region south of The Pas used for farming and gathering. It includes settlements like Young's Point and was historically a rendezvous for h"
"Catfish Creek","Geographic Landmark","Oral tradition / approximate","217","Flows into the Assiniboine River near present-day Polo Park in Winnipeg. Historically significant as a junction point where Metis boatmen from western"
"Cayer","Settlement","1950s (Documented)","149","A Métis community located northeast of McCreary and east of Dauphin. Named for Narcisse K. Cayer | it had a population of 150 Métis residents in 1959."
"Cedar Lake (Chemanwawin) Métis Settlement","Settlement (Flooded)","Ancient; Relocated 1960s","350","A self-sufficient community on the west shore of Cedar Lake | its name derived from the Cree word for "a place for fishing with nets". In the early 196"
"Charleswood (St. Charles Parish)","Parish / Settlement","Early 1800s","171","The location of "The Passage |" a natural ford for Red River carts. Among the earliest settlers on the river lot farms were the Beauchemin | Hogue | and "
"Choteau","Settlement","Late 1800s","350","A significant Métis community in north-central Montana along the Rocky Mountain Front. Established by families who migrated south from the Red River S"
"Cold Lake","Road Allowance Community","Oral tradition / approximate","243","A road allowance community south of Sherridon known as "Moccasin Flats". Residents worked in mining and guiding but were denied land titles. Senator E"
"Cold Lake (Kississing)","Road Allowance Community","Early 1900s","243","A road allowance community south of Sherridon known as "Moccasin Flats". Residents worked in mining and guiding but were denied land titles. Senator E"
"Cooks Creek","Mission / Settlement","1833","191","Site of St. Peter’s Anglican Mission established on land donated by Chief Peguis. By 1850 | it was a productive community with 500 residents living on "
"Cormorant","Settlement","Historic","192","Located north of The Pas on Cormorant Lake | this is a historic Indigenous campsite and fishing area. In 1959 | it had 169 Métis residents and was key t"
"Cranberry Portage","Settlement / Trading Post","Ancient; 1804 (Post)","180","A 2 |000-year-old portage between the Grassy River and Lake Athapapuskow. Métis trapper David Collins is credited with showing prospectors the claim th"
